,Price,P^0.5,P^2,P^3,P^4
2017-11-22,0.13491143850355902,0.36730292471413706,0.018201096239099587,0.0024555360759586434,0.0003312799043049652
2017-11-23,0.13369751144953923,0.36564670304754454,0.017875024567799675,0.002389846301814192,0.0003195165032994419
2017-11-24,0.1324835843955195,0.3639829451986995,0.017551900134284735,0.002325338642742242,0.00030806919832390456
2017-11-25,0.13397340396181648,0.366023775131912,0.017948872969116063,0.0024046716089507147,0.0003221620408614653
2017-11-26,0.13397340396181648,0.366023775131912,0.017948872969116063,0.0024046716089507147,0.0003221620408614653
2017-11-27,0.13546322352811346,0.3680532889788019,0.018350284928627635,0.0024857887490912565,0.00033673295696181845
2017-11-28,0.13573911604039066,0.3684278980212962,0.01842510762342664,0.002501007821752995,0.00033948459093485447
2017-11-29,0.13579429454284608,0.36850277413181853,0.018440090430389237,0.0025040590713009936,0.00034003693508093276
2017-11-30,0.1369530430944104,0.37007167291541027,0.01875613601281943,0.0025687099036482823,0.00035179263813138196
2017-12-01,0.1759642443304089,0.4194809224868383,0.030963415282771835,0.00544845397212158,0.0009587330859733885
2017-12-02,0.1775920101528444,0.4214166704733504,0.03153892207012799,0.005601060568487938,0.0009947036053456063
2017-12-03,0.1775920101528444,0.4214166704733504,0.03153892207012799,0.005601060568487938,0.0009947036053456063
2017-12-04,0.17921977597528,0.4233435673011697,0.032119728100629547,0.005756490474581733,0.0010316769332583714
2017-12-05,0.17292942669535946,0.4158478407967985,0.029904586617185702,0.005171383019271642,0.0008942843007447622
2017-12-06,0.15957622910114214,0.3994699351655167,0.025464572894140204,0.004063540518118051,0.0006484444726809799
2017-12-07,0.15930033658886494,0.3991244625287517,0.025376597237325663,0.004042500481386039,0.0006439716873454445
2017-12-08,0.16514925784914194,0.4063856024136952,0.027274277368122372,0.004504326665717058,0.0007438862059532723
2017-12-09,0.16553550736633002,0.40686055027039675,0.0274020041990283,0.004536004667940455,0.0007508698341235646
2017-12-10,0.16553550736633002,0.40686055027039675,0.0274020041990283,0.004536004667940455,0.0007508698341235646
2017-12-11,0.16592175688351818,0.4073349443437405,0.027530029407313313,0.004567830846316345,0.0007579025191675358
2017-12-12,0.16790818297191412,0.409766010025129,0.028193157908929792,0.004733861916728651,0.0007948541528778505
2017-12-13,0.16994978756276555,0.4122496665405147,0.02888293029262914,0.004908647867422488,0.000834223662288874
2017-12-14,0.16801853997682498,0.4099006464703672,0.028230229775943933,0.00474320199016439,0.0007969458732025915
2017-12-15,0.16857032500137947,0.4105731664409883,0.0284159544710707,0.00479008668041279,0.000807466468501963
2017-12-16,0.17237764167080505,0.4151838648969936,0.029714051347988466,0.005122038095851458,0.0008829248475108951
2017-12-17,0.17237764167080505,0.4151838648969936,0.029714051347988466,0.005122038095851458,0.0008829248475108951
2017-12-18,0.17618495834023062,0.4197439199562403,0.0310411395453488,0.005468981877630564,0.0009635523442738171
2017-12-19,0.17579870882304255,0.41928356612565026,0.0309051860238489,0.005433091798928576,0.0009551305231687053
2017-12-20,0.17607460133531977,0.41961244182616864,0.03100226523539179,0.005458711491813453,0.0009611404497255824
2017-12-21,0.17750924239916124,0.42131845722583916,0.03150953113712418,0.005593233000503696,0.0009928505524813985
2017-12-22,0.1783920984384484,0.42236488779069736,0.03182374078527306,0.005677103898846097,0.001012750477568252
2017-12-23,0.17877834795563646,0.4228218867982551,0.03196169769774662,0.005714059512260611,0.001021550119722142
2017-12-24,0.17877834795563646,0.4228218867982551,0.03196169769774662,0.005714059512260611,0.001021550119722142
2017-12-25,0.17877834795563646,0.4228218867982551,0.03196169769774662,0.005714059512260611,0.001021550119722142
2017-12-26,0.1791645974728246,0.42327839240011367,0.03209995298759927,0.005751175155919815,0.001030406981806083
2017-12-27,0.1797715609998345,0.4239947652976797,0.03231781414431721,0.005809823896826436,0.0010444411110666298
2017-12-28,0.18065441703912155,0.4250346068723364,0.03263601839574485,0.005895840877761333,0.0010651096967273963
2017-12-29,0.18065441703912155,0.4250346068723364,0.03263601839574485,0.005895840877761333,0.0010651096967273963
2017-12-30,0.18788280086078465,0.4334544968745677,0.03529994685929326,0.006632252886160876,0.0012460862482689284
2017-12-31,0.18788280086078465,0.4334544968745677,0.03529994685929326,0.006632252886160876,0.0012460862482689284
2018-01-01,0.18788280086078465,0.4334544968745677,0.03529994685929326,0.006632252886160876,0.0012460862482689284
2018-01-02,0.19511118468244773,0.4417139172388026,0.03806837438818823,0.007427565625814356,0.0014492011285592652
